ACWO_1,ACWO_2,ACWO_3,ACWO_4,ACWO_5,ACWO_6,ADMO_1,ADMO_2,ADMO_3,ADMO_4,ADMO_5,ADMO_6,ADRR_1,ADRR_2,ADRR_3,ADRR_4,ADRR_5,ADRR_6,CSO_1,CSO_2,CSO_3,CSO_4,CSO_5,CSO_6,HTB_1,HTB_2,HTB_3,HTB_4,HTB_5,HTB_6,ITP_1,ITP_2,ITP_3,ITP_4,ITP_5,ITP_6,PPL_1,PPL_2,PPL_3,PPL_4,PPL_5,PPL_6,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,RRR_1,RRR_2,RRR_3,RRR_4,RRR_5,RRR_6,TGA_1,TGA_2,TGA_3,TGA_4,TGA_5,TGA_6,Abnormal
0.0,0.0,0.0,0.0,0.0,0.0,888.0,992.0,1469.0,1661.0,1191.0,1131.0,315.0,316.0,317.0,316.0,312.0,249.0,30239.0,30239.0,30239.0,30239.0,30239.0,30239.0,71.0,71.0,72.0,71.0,69.0,68.0,3425.0,3425.0,3425.0,3425.0,3425.0,3425.0,13350.0,13300.0,13300.0,13530.0,13310.0,13500.0,11098.0,11071.0,11395.0,11609.0,11209.0,10813.0,160.0,160.0,160.0,160.0,160.0,160.0,23486.0,23409.0,23733.0,24177.0,23557.0,23351.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1546.0,1703.0,1697.0,1737.0,1843.0,1819.0,185.0,253.0,253.0,253.0,253.0,253.0,29681.0,29681.0,29681.0,29681.0,29681.0,29681.0,41.0,40.0,38.0,40.0,39.0,38.0,2738.0,2738.0,2738.0,2738.0,2738.0,2938.0,14200.0,14900.0,15100.0,15150.0,15150.0,15000.0,12504.0,11735.0,10933.0,10725.0,10681.0,10857.0,180.0,180.0,180.0,180.0,180.0,180.0,26449.0,26380.0,25778.0,25620.0,25576.0,25402.0,0.0
642.0,482.0,0.0,0.0,0.0,0.0,2657.0,2522.0,2623.0,1860.0,1819.0,2118.0,166.0,243.0,243.0,243.0,243.0,243.0,30218.0,30218.0,30218.0,30218.0,30218.0,30218.0,33.0,34.0,37.0,39.0,41.0,47.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,17110.0,17110.0,16520.0,16250.0,15750.0,15000.0,12215.0,11808.0,12386.0,11644.0,11686.0,12585.0,180.0,180.0,180.0,180.0,180.0,180.0,28520.0,28113.0,28101.0,27089.0,26631.0,26780.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1485.0,1546.0,1703.0,1697.0,1737.0,1843.0,185.0,253.0,253.0,253.0,253.0,253.0,29681.0,29681.0,29681.0,29681.0,29681.0,29681.0,47.0,46.0,45.0,43.0,42.0,42.0,2738.0,2738.0,2738.0,2738.0,2738.0,2738.0,14870.0,14770.0,14940.0,15610.0,15100.0,15150.0,12387.0,11719.0,11107.0,10235.0,10637.0,10543.0,180.0,180.0,180.0,180.0,180.0,180.0,27002.0,26234.0,25792.0,25590.0,25482.0,25438.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1072.0,684.0,772.0,889.0,857.0,1257.0,378.0,384.0,435.0,411.0,430.0,426.0,30611.0,30611.0,30611.0,30611.0,30611.0,30611.0,75.0,73.0,75.0,72.0,73.0,73.0,3195.0,3195.0,3195.0,3195.0,3195.0,3295.0,17800.0,18000.0,17750.0,17100.0,16880.0,16560.0,12192.0,11645.0,11388.0,12175.0,12213.0,12899.0,160.0,160.0,160.0,160.0,160.0,160.0,29260.0,28913.0,28406.0,28543.0,28361.0,28627.0,0.0
344.0,516.0,688.0,1032.0,172.0,516.0,2416.0,2236.0,2117.0,1804.0,1973.0,1691.0,320.0,422.0,424.0,433.0,423.0,457.0,29745.0,29745.0,29745.0,29745.0,29745.0,29745.0,37.0,37.0,37.0,36.0,41.0,36.0,3495.0,3495.0,3495.0,3495.0,3495.0,3495.0,16600.0,16680.0,16750.0,16610.0,16050.0,16570.0,13792.0,12954.0,11740.0,11223.0,12719.0,11323.0,180.0,180.0,180.0,180.0,180.0,180.0,29380.0,28622.0,27478.0,26821.0,27757.0,26881.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,612.0,871.0,845.0,813.0,741.0,811.0,451.0,478.0,495.0,322.0,332.0,495.0,30611.0,30611.0,30611.0,30611.0,30611.0,30611.0,83.0,86.0,86.0,85.0,80.0,77.0,3120.0,3120.0,3120.0,3295.0,3295.0,3295.0,20580.0,20810.0,20920.0,19850.0,19260.0,17890.0,8633.0,8048.0,7833.0,8596.0,8985.0,10288.0,160.0,160.0,160.0,160.0,160.0,160.0,28556.0,28201.0,28096.0,27614.0,27413.0,27346.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1233.0,986.0,884.0,1017.0,897.0,1042.0,399.0,456.0,422.0,410.0,407.0,276.0,30615.0,30615.0,30615.0,30615.0,30615.0,30615.0,75.0,72.0,76.0,76.0,76.0,77.0,3095.0,3095.0,3095.0,3095.0,3095.0,3095.0,13600.0,13370.0,14050.0,14400.0,14400.0,14500.0,13982.0,14270.0,13901.0,13407.0,12938.0,12833.0,160.0,160.0,160.0,160.0,160.0,160.0,26950.0,27008.0,27319.0,27175.0,26706.0,26701.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2083.0,2046.0,1987.0,2061.0,1757.0,2101.0,465.0,465.0,456.0,460.0,467.0,344.0,30471.0,30471.0,30471.0,30471.0,30471.0,30471.0,44.0,44.0,46.0,47.0,48.0,46.0,2695.0,2695.0,2695.0,2695.0,2695.0,2695.0,14440.0,13980.0,14250.0,13980.0,14000.0,13920.0,14959.0,15133.0,14204.0,14348.0,13923.0,14197.0,180.0,180.0,180.0,180.0,180.0,180.0,29187.0,28901.0,28242.0,28116.0,27711.0,27905.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1605.0,1884.0,1679.0,1589.0,1512.0,1489.0,404.0,374.0,364.0,385.0,401.0,290.0,28074.0,28072.0,28072.0,28072.0,28072.0,28072.0,67.0,66.0,66.0,65.0,65.0,66.0,3095.0,3095.0,3095.0,3095.0,3095.0,3095.0,12830.0,12940.0,12830.0,12910.0,12900.0,12780.0,9948.0,9944.0,9621.0,8993.0,8776.0,8735.0,160.0,160.0,160.0,160.0,160.0,160.0,22146.0,22252.0,21819.0,21271.0,21044.0,20883.0,0.0
